DATE,LTDACBM027NBOG
1973-01-01,94.4033
1973-02-01,97.4870
1973-03-01,101.7671
1973-04-01,103.9930
1973-05-01,106.4010
1973-06-01,107.0573
1973-07-01,108.9654
1973-08-01,113.7399
1973-09-01,115.2064
1973-10-01,115.1099
1973-11-01,114.0228
1973-12-01,115.1378
1974-01-01,117.7182
1974-02-01,118.7884
1974-03-01,120.3193
1974-04-01,124.5370
1974-05-01,128.4647
1974-06-01,130.2018
1974-07-01,132.6752
1974-08-01,136.0172
1974-09-01,137.2411
1974-10-01,137.9532
1974-11-01,137.0439
1974-12-01,140.1818
1975-01-01,142.1743
1975-02-01,141.2036
1975-03-01,141.7406
1975-04-01,141.0856
1975-05-01,141.3943
1975-06-01,140.4486
1975-07-01,139.9597
1975-08-01,140.6671
1975-09-01,142.1384
1975-10-01,143.4668
1975-11-01,143.1475
1975-12-01,145.2230
1976-01-01,143.3769
1976-02-01,141.0028
1976-03-01,140.9555
1976-04-01,139.5756
1976-05-01,139.4914
1976-06-01,141.5082
1976-07-01,141.5114
1976-08-01,140.9210
1976-09-01,141.2498
1976-10-01,141.2469
1976-11-01,141.0584
1976-12-01,143.2944
1977-01-01,143.7963
1977-02-01,144.3175
1977-03-01,145.6561
1977-04-01,145.6053
1977-05-01,147.7635
1977-06-01,149.8573
1977-07-01,150.6519
1977-08-01,152.2887
1977-09-01,153.3834
1977-10-01,155.7302
1977-11-01,158.5415
1977-12-01,162.6341
1978-01-01,164.1127
1978-02-01,165.8732
1978-03-01,169.5690
1978-04-01,171.2807
1978-05-01,174.6560
1978-06-01,176.1468
1978-07-01,177.8788
1978-08-01,180.3389
1978-09-01,183.1633
1978-10-01,184.9126
1978-11-01,190.8306
1978-12-01,194.8121
1979-01-01,196.6405
1979-02-01,197.2180
1979-03-01,198.1576
1979-04-01,196.6599
1979-05-01,196.5613
1979-06-01,195.7100
1979-07-01,196.9092
1979-08-01,200.4868
1979-09-01,205.4097
1979-10-01,209.4229
1979-11-01,212.5150
1979-12-01,215.0710
1980-01-01,217.2134
1980-02-01,221.0048
1980-03-01,224.8044
1980-04-01,227.5722
1980-05-01,229.2170
1980-06-01,228.0147
1980-07-01,226.5294
1980-08-01,229.7677
1980-09-01,233.8229
1980-10-01,238.3092
1980-11-01,246.5638
1980-12-01,256.5056
1981-01-01,265.8325
1981-02-01,269.3089
1981-03-01,270.4191
1981-04-01,271.3679
1981-05-01,277.3603
1981-06-01,280.2860
1981-07-01,283.3245
1981-08-01,289.9391
1981-09-01,293.5904
1981-10-01,297.4692
1981-11-01,299.6942
1981-12-01,303.7119
1982-01-01,304.9345
1982-02-01,307.6010
1982-03-01,310.1197
1982-04-01,312.1199
1982-05-01,314.8991
1982-06-01,318.8582
1982-07-01,324.1249
1982-08-01,330.9881
1982-09-01,333.9982
1982-10-01,336.8420
1982-11-01,335.9599
1982-12-01,333.1112
1983-01-01,320.7580
1983-02-01,314.3198
1983-03-01,310.4206
1983-04-01,306.9692
1983-05-01,303.8500
1983-06-01,305.3090
1983-07-01,306.5367
1983-08-01,310.1569
1983-09-01,311.6670
1983-10-01,313.7872
1983-11-01,317.7868
1983-12-01,320.8245
1984-01-01,305.9961
1984-02-01,303.4153
1984-03-01,307.5266
1984-04-01,306.9818
1984-05-01,316.9102
1984-06-01,325.4772
1984-07-01,328.4652
1984-08-01,329.4735
1984-09-01,330.1620
1984-10-01,333.3637
1984-11-01,334.7793
1984-12-01,339.6870
1985-01-01,338.8660
1985-02-01,338.8202
1985-03-01,342.1315
1985-04-01,335.4802
1985-05-01,331.8085
1985-06-01,330.0274
1985-07-01,327.3673
1985-08-01,332.6906
1985-09-01,338.0662
1985-10-01,340.4164
1985-11-01,340.5578
1985-12-01,343.9816
1986-01-01,349.8605
1986-02-01,350.4186
1986-03-01,348.4969
1986-04-01,344.7511
1986-05-01,339.8018
1986-06-01,338.9182
1986-07-01,340.3082
1986-08-01,345.9623
1986-09-01,348.9498
1986-10-01,346.7098
1986-11-01,347.0886
1986-12-01,351.6251
1987-01-01,352.1679
1987-02-01,353.9350
1987-03-01,358.1555
1987-04-01,362.0870
1987-05-01,369.6662
1987-06-01,373.5434
1987-07-01,374.1575
1987-08-01,377.0245
1987-09-01,379.6416
1987-10-01,386.7330
1987-11-01,392.1079
1987-12-01,395.9349
1988-01-01,396.5188
1988-02-01,399.1628
1988-03-01,402.3200
1988-04-01,400.2547
1988-05-01,401.5121
1988-06-01,404.3286
1988-07-01,406.8015
1988-08-01,413.7776
1988-09-01,420.0382
1988-10-01,424.6509
1988-11-01,426.7591
1988-12-01,432.7837
1989-01-01,435.0475
1989-02-01,439.8520
1989-03-01,450.1996
1989-04-01,455.6295
1989-05-01,456.0392
1989-06-01,457.7650
1989-07-01,461.1667
1989-08-01,464.8572
1989-09-01,465.6929
1989-10-01,467.5111
1989-11-01,466.3813
1989-12-01,462.9876
1990-01-01,459.4507
1990-02-01,460.6578
1990-03-01,461.7694
1990-04-01,459.7524
1990-05-01,457.4633
1990-06-01,454.0840
1990-07-01,454.9041
1990-08-01,452.5955
1990-09-01,448.4607
1990-10-01,444.2125
1990-11-01,440.7262
1990-12-01,436.9385
1991-01-01,445.6664
1991-02-01,457.7364
1991-03-01,459.6044
1991-04-01,459.0870
1991-05-01,460.0352
1991-06-01,457.8979
1991-07-01,455.1621
1991-08-01,456.8151
1991-09-01,454.2787
1991-10-01,443.6924
1991-11-01,442.5774
1991-12-01,439.9835
1992-01-01,432.7147
1992-02-01,428.5182
1992-03-01,422.8652
1992-04-01,412.7926
1992-05-01,410.7072
1992-06-01,405.0202
1992-07-01,400.6868
1992-08-01,401.4858
1992-09-01,395.5148
1992-10-01,388.6436
1992-11-01,383.5012
1992-12-01,376.4692
1993-01-01,369.6515
1993-02-01,370.2316
1993-03-01,366.8590
1993-04-01,364.4345
1993-05-01,368.4829
1993-06-01,363.8740
1993-07-01,354.5600
1993-08-01,351.0887
1993-09-01,348.2106
1993-10-01,344.6994
1993-11-01,346.4772
1993-12-01,348.9334
1994-01-01,346.2387
1994-02-01,341.8479
1994-03-01,335.1106
1994-04-01,336.9049
1994-05-01,343.3037
1994-06-01,336.3893
1994-07-01,340.6416
1994-08-01,346.8064
1994-09-01,352.1850
1994-10-01,356.6490
1994-11-01,363.6008
1994-12-01,366.6565
1995-01-01,366.6540
1995-02-01,374.7740
1995-03-01,381.8395
1995-04-01,387.9248
1995-05-01,395.9440
1995-06-01,398.8975
1995-07-01,400.6306
1995-08-01,410.3805
1995-09-01,414.2041
1995-10-01,418.9757
1995-11-01,420.0314
1995-12-01,418.2761
1996-01-01,416.9839
1996-02-01,422.4198
1996-03-01,428.9527
1996-04-01,433.2991
1996-05-01,445.3885
1996-06-01,444.6580
1996-07-01,448.3204
1996-08-01,456.7334
1996-09-01,470.0250
1996-10-01,494.9627
1996-11-01,502.5521
1996-12-01,518.5639
1997-01-01,523.3401
1997-02-01,536.5712
1997-03-01,541.6762
1997-04-01,556.4009
1997-05-01,562.6610
1997-06-01,577.9207
1997-07-01,593.1813
1997-08-01,604.6061
1997-09-01,617.2203
1997-10-01,625.9794
1997-11-01,638.6059
1997-12-01,643.0865
