DATE,TREASURY
1986-01-01,10.129
1986-02-01,8.104
1986-03-01,3.657
1986-04-01,3.735
1986-05-01,4.847
1986-06-01,2.916
1986-07-01,3.463
1986-08-01,3.489
1986-09-01,4.31
1986-10-01,4.328
1986-11-01,3.205
1986-12-01,3.531
1987-01-01,9.105
1987-02-01,6.302
1987-03-01,3.21
1987-04-01,5.767
1987-05-01,17.868
1987-06-01,6.807
1987-07-01,7.084
1987-08-01,3.664
1987-09-01,9.481
1987-10-01,8.659
1987-11-01,4.622
1987-12-01,3.99
1988-01-01,4.773
1988-02-01,4.773
1988-03-01,4.773
1988-04-01,4.773
1988-05-01,4.773
1988-06-01,4.773
1988-07-01,4.773
1988-08-01,4.773
1988-09-01,4.773
1988-10-01,4.773
1988-11-01,4.773
1988-12-01,4.773
1989-01-01,4.773
1989-02-01,4.773
1989-03-01,4.898
1989-04-01,6.592
1989-05-01,15.03
1989-06-01,9.67
1989-07-01,6.926
1989-08-01,5.356
1989-09-01,7.042
1989-10-01,6.834
1989-11-01,5.219
1989-12-01,4.652
1990-01-01,6.257
1990-02-01,5.867
1990-03-01,5.407
1990-04-01,4.551
1990-05-01,4.851
1990-06-01,5.032
1990-07-01,5.436
1990-08-01,5.42
1990-09-01,6.074
1990-10-01,5.774
1990-11-01,5.565
1990-12-01,5.504
1991-01-01,7.954
1991-02-01,11.36
1991-03-01,6.498
1991-04-01,5.609
1991-05-01,5.225
1991-06-01,5.706
1991-07-01,7.147
1991-08-01,5.542
1991-09-01,7.574
1991-10-01,5.953
1991-11-01,6.154
1991-12-01,6.668
1992-01-01,7.906
1992-02-01,6.549
1992-03-01,5.61
1992-04-01,5.003
1992-05-01,5.074
1992-06-01,6.312
1992-07-01,6.121
1992-08-01,5.766
1992-09-01,10.589
1992-10-01,4.98
1992-11-01,5.461
1992-12-01,5.953
1993-01-01,7.4
1993-02-01,6.649
1993-03-01,5.449
1993-04-01,5.994
1993-05-01,5.952
1993-06-01,8.348
1993-07-01,6.289
1993-08-01,5.81
1993-09-01,8.739
1993-10-01,5.895
1993-11-01,5.656
1993-12-01,6.089
1994-01-01,7.068
1994-02-01,7.465
1994-03-01,4.988
1994-04-01,5.52
1994-05-01,6.586
1994-06-01,5.825
1994-07-01,5.476
1994-08-01,5.097
1994-09-01,5.913
1994-10-01,5.484
1994-11-01,5.404
1994-12-01,6.013
1995-01-01,6.753
1995-02-01,6.498
1995-03-01,5.222
1995-04-01,5.84
1995-05-01,6.001
1995-06-01,6.982
1995-07-01,7.669
1995-08-01,5.439
1995-09-01,6.66
1995-10-01,5.669
1995-11-01,5.388
1995-12-01,6.826
1996-01-01,6.27
1996-02-01,4.929
1996-03-01,5.525
1996-04-01,6.977
1996-05-01,6.244
1996-06-01,5.795
1996-07-01,5.56
1996-08-01,5.063
1996-09-01,5.848
1996-10-01,5.374
1996-11-01,4.988
1996-12-01,5.574
1997-01-01,6.147
1997-02-01,5.116
1997-03-01,5.793
1997-04-01,11.959
1997-05-01,12.197
1997-06-01,7.236
1997-07-01,6.297
1997-08-01,4.868
1997-09-01,5.9
1997-10-01,5.719
1997-11-01,5.156
1997-12-01,5.076
1998-01-01,6.602
1998-02-01,5.032
1998-03-01,5.447
1998-04-01,8.427
1998-05-01,6.276
1998-06-01,7.531
1998-07-01,8.023
1998-08-01,5.107
1998-09-01,6.16
1998-10-01,5.477
1998-11-01,5.028
1998-12-01,5.858
1999-01-01,6.418
1999-02-01,5.24
1999-03-01,5.369
1999-04-01,6.117
1999-05-01,5.81
1999-06-01,5.809
1999-07-01,5.247
1999-08-01,5.034
1999-09-01,6.182
1999-10-01,5.33
1999-11-01,4.962
1999-12-01,6.705
2000-01-01,9.716
2000-02-01,5.508
2000-03-01,5.329
2000-04-01,7.428
2000-05-01,7.785
2000-06-01,6.204
2000-07-01,5.276
2000-08-01,5.038
2000-09-01,6.538
2000-10-01,5.648
2000-11-01,5.128
2000-12-01,5.776
2001-01-01,6.523
2001-02-01,4.894
2001-03-01,5.296
2001-04-01,5.767
2001-05-01,5.419
2001-06-01,5.404
2001-07-01,5.275
2001-08-01,5.058
2001-09-01,6.339
2001-10-01,5.594
2001-11-01,5.088
2001-12-01,5.254
2002-01-01,6.603
2002-02-01,5.19
2002-03-01,5.496
2002-04-01,5.838
2002-05-01,5.43
2002-06-01,5.871
2002-07-01,5.544
2002-08-01,5.08
2002-09-01,5.602
2002-10-01,5.096
2002-11-01,5.059
2002-12-01,4.852
2003-01-01,5.677
2003-02-01,5.092
2003-03-01,5.25
2003-04-01,7.268
2003-05-01,6.674
2003-06-01,6.837
2003-07-01,6.211
2003-08-01,5.717
2003-09-01,5.803
2003-10-01,5.276
2003-11-01,5.108
2003-12-01,5.317
2004-01-01,5.683
2004-02-01,5.096
2004-03-01,5.5
2004-04-01,6.06
2004-05-01,5.501
2004-06-01,5.596
2004-07-01,4.96
2004-08-01,4.752
2004-09-01,5.513
2004-10-01,5.049
2004-11-01,4.882
2004-12-01,5.003
2005-01-01,5.207
2005-02-01,5.039
2005-03-01,4.836
2005-04-01,5.315
2005-05-01,5.0
2005-06-01,4.989
2005-07-01,4.746
2005-08-01,4.979
2005-09-01,5.361
2005-10-01,4.837
2005-11-01,4.94
2005-12-01,5.146
2006-01-01,4.913
2006-02-01,5.176
2006-03-01,5.026
2006-04-01,5.076
2006-05-01,5.211
2006-06-01,5.034
2006-07-01,5.113
2006-08-01,4.84
2006-09-01,4.918
2006-10-01,5.464
2006-11-01,4.934
2006-12-01,5.276
2007-01-01,4.935
2007-02-01,4.931
2007-03-01,5.04
2007-04-01,5.357
2007-05-01,6.87
2007-06-01,5.074
2007-07-01,4.686
2007-08-01,4.908
2007-09-01,4.904
2007-10-01,4.977
2007-11-01,5.099
2007-12-01,5.536
2008-01-01,5.799
2008-02-01,4.866
2008-03-01,5.206
2008-04-01,5.238
2008-05-01,4.797
2008-06-01,4.922
2008-07-01,5.089
2008-08-01,4.833
2008-09-01,4.874
2008-10-01,29.556
2008-11-01,54.643
2008-12-01,86.074
2009-01-01,48.503
2009-02-01,36.272
2009-03-01,63.029
2009-04-01,55.094
2009-05-01,59.918
2009-06-01,56.223
2009-07-01,53.443
2009-08-01,43.767
2009-09-01,33.787
2009-10-01,47.864
2009-11-01,52.921
2009-12-01,72.05
2010-01-01,148.418
2010-02-01,67.185
2010-03-01,46.14
2010-04-01,33.502
2010-05-01,39.552
2010-06-01,36.219
2010-07-01,34.289
2010-08-01,27.664
2010-09-01,40.694
2010-10-01,42.189
2010-11-01,26.76
2010-12-01,53.121
2011-01-01,88.789
2011-02-01,66.378
2011-03-01,54.156
2011-04-01,64.41
2011-05-01,97.582
2011-06-01,75.287
2011-07-01,73.659
2011-08-01,28.322
2011-09-01,38.648
2011-10-01,43.333
2011-11-01,42.541
2011-12-01,65.206
2012-01-01,88.657
2012-02-01,71.767
2012-03-01,66.328
2012-04-01,58.028
2012-05-01,98.349
2012-06-01,86.636
2012-07-01,73.947
2012-08-01,31.071
2012-09-01,53.756
2012-10-01,64.852
2012-11-01,29.751
2012-12-01,45.882
2013-01-01,65.712
2013-02-01,41.769
2013-03-01,54.794
2013-04-01,86.546
2013-05-01,87.572
2013-06-01,62.407
2013-07-01,79.212
2013-08-01,53.36
2013-09-01,41.018
2013-10-01,35.598
2013-11-01,45.797
2013-12-01,59.158
2014-01-01,94.304
2014-02-01,51.095
2014-03-01,72.98
2014-04-01,83.915
2014-05-01,58.491
2014-06-01,68.134
2014-07-01,69.954
2014-08-01,58.15
2014-09-01,65.798
2014-10-01,107.485
2014-11-01,98.409
2014-12-01,125.89
2015-01-01,176.607
2015-02-01,128.282
2015-03-01,58.957
2015-04-01,110.17
2015-05-01,200.234
2015-06-01,202.852
2015-07-01,195.612
2015-08-01,176.572
2015-09-01,124.447
2015-10-01,64.331
2015-11-01,108.358
2015-12-01,230.76
2016-01-01,315.879
2016-02-01,293.218
2016-03-01,253.18
2016-04-01,279.727
2016-05-01,303.921
2016-06-01,277.897
2016-07-01,318.503
2016-08-01,269.605
2016-09-01,292.846
2016-10-01,381.24
2016-11-01,400.706
2016-12-01,359.264
2017-01-01,379.353
2017-02-01,312.197
2017-03-01,87.662
2017-04-01,152.548
2017-05-01,193.579
2017-06-01,181.682
2017-07-01,179.961
2017-08-01,120.86
2017-09-01,100.057
2017-10-01,176.376
2017-11-01,176.364
2017-12-01,137.422
2018-01-01,236.962
2018-02-01,204.728
2018-03-01,270.078
2018-04-01,308.211
2018-05-01,348.556
2018-06-01,325.494
2018-07-01,333.961
2018-08-01,342.346
2018-09-01,333.332
2018-10-01,353.719
2018-11-01,332.969
2018-12-01,349.332
2019-01-01,376.136
2019-02-01,338.988
2019-03-01,270.127
2019-04-01,309.168
2019-05-01,320.656
2019-06-01,214.474
2019-07-01,202.11
2019-08-01,133.336
2019-09-01,224.624
2019-10-01,349.165
2019-11-01,372.184
2019-12-01,343.562
2020-01-01,387.309
2020-02-01,423.182
2020-03-01,376.975
2020-04-01,783.3
2020-05-01,1202.471
2020-06-01,1531.543
2020-07-01,1717.534
2020-08-01,1670.289
2020-09-01,1644.987
2020-10-01,1695.949
2020-11-01,1574.072
2020-12-01,1557.691
2021-01-01,1629.798
2021-02-01,1582.812
2021-03-01,1229.812
2021-04-01,979.697
2021-05-01,882.765
2021-06-01,729.602
2021-07-01,678.647
2021-08-01,391.956
2021-09-01,253.448
2021-10-01,127.529
