DATE,WSMTMNS
1975-01-06,122.800
1975-01-13,123.400
1975-01-20,123.700
1975-01-27,124.0
1975-02-03,124.200
1975-02-10,125.400
1975-02-17,126.300
1975-02-24,127.500
1975-03-03,127.800
1975-03-10,128.500
1975-03-17,128.900
1975-03-24,129.000
1975-03-31,129.900
1975-04-07,130.100
1975-04-14,130.500
1975-04-21,130.800
1975-04-28,131.300
1975-05-05,131.600
1975-05-12,132.000
1975-05-19,131.900
1975-05-26,132.300
1975-06-02,132.600
1975-06-09,133.100
1975-06-16,133.600
1975-06-23,134.100
1975-06-30,135.100
1975-07-07,135.400
1975-07-14,135.600
1975-07-21,135.800
1975-07-28,136.100
1975-08-04,136.400
1975-08-11,136.700
1975-08-18,136.500
1975-08-25,136.800
1975-09-01,137.600
1975-09-08,137.700
1975-09-15,137.300
1975-09-22,137.200
1975-09-29,137.600
1975-10-06,137.800
1975-10-13,138.800
1975-10-20,138.800
1975-10-27,138.900
1975-11-03,139.100
1975-11-10,139.800
1975-11-17,139.800
1975-11-24,139.900
1975-12-01,140.000
1975-12-08,140.800
1975-12-15,141.200
1975-12-22,141.700
1975-12-29,142.100
1976-01-05,142.100
1976-01-12,142.900
1976-01-19,142.900
1976-01-26,143.300
1976-02-02,143.500
1976-02-09,143.800
1976-02-16,144.000
1976-02-23,144.100
1976-03-01,143.600
1976-03-08,143.200
1976-03-15,142.800
1976-03-22,142.200
1976-03-29,141.700
1976-04-05,141.300
1976-04-12,141.600
1976-04-19,141.400
1976-04-26,142.300
1976-05-03,142.900
1976-05-10,143.400
1976-05-17,143.900
1976-05-24,144.100
1976-05-31,144.400
1976-06-07,144.400
1976-06-14,144.4
1976-06-21,144.200
1976-06-28,144.300
1976-07-05,144.300
1976-07-12,144.800
1976-07-19,145.100
1976-07-26,145.600
1976-08-02,145.900
1976-08-09,146.400
1976-08-16,147.000
1976-08-23,147.600
1976-08-30,148.500
1976-09-06,149.500
1976-09-13,150.000
1976-09-20,150.500
1976-09-27,150.900
1976-10-04,151.000
1976-10-11,151.800
1976-10-18,152.500
1976-10-25,153.400
1976-11-01,153.900
1976-11-08,154.100
1976-11-15,153.500
1976-11-22,153.600
1976-11-29,153.800
1976-12-06,154.200
1976-12-13,154.800
1976-12-20,154.900
1976-12-27,154.700
1977-01-03,155.500
1977-01-10,156.200
1977-01-17,156.900
1977-01-24,157.900
1977-01-31,158.100
1977-02-07,158.500
1977-02-14,159.000
1977-02-21,159.500
1977-02-28,160.100
1977-03-07,160.500
1977-03-14,161.200
1977-03-21,161.400
1977-03-28,161.500
1977-04-04,161.900
1977-04-11,162.100
1977-04-18,162.300
1977-04-25,162.800
1977-05-02,163.200
1977-05-09,163.800
1977-05-16,164.200
1977-05-23,164.400
1977-05-30,165.000
1977-06-06,165.300
1977-06-13,165.600
1977-06-20,165.800
1977-06-27,165.700
1977-07-04,165.800
1977-07-11,166.000
1977-07-18,165.600
1977-07-25,165.600
1977-08-01,165.300
1977-08-08,165.300
1977-08-15,165.300
1977-08-22,165.200
1977-08-29,165.300
1977-09-05,165.500
1977-09-12,165.600
1977-09-19,165.400
1977-09-26,165.800
1977-10-03,166.000
1977-10-10,166.200
1977-10-17,166.000
1977-10-24,166.000
1977-10-31,165.800
1977-11-07,165.900
1977-11-14,165.900
1977-11-21,166.200
1977-11-28,166.100
1977-12-05,166.300
1977-12-12,166.600
1977-12-19,166.300
1977-12-26,167.100
1978-01-02,168.400
1978-01-09,168.600
1978-01-16,168.700
1978-01-23,169.100
1978-01-30,169.300
1978-02-06,169.800
1978-02-13,170.100
1978-02-20,170.900
1978-02-27,171.100
1978-03-06,171.200
1978-03-13,171.300
1978-03-20,171.100
1978-03-27,170.700
1978-04-03,171.100
1978-04-10,170.800
1978-04-17,171.000
1978-04-24,171.400
1978-05-01,171.300
1978-05-08,171.500
1978-05-15,172.000
1978-05-22,172.000
1978-05-29,172.500
1978-06-05,172.600
1978-06-12,173.000
1978-06-19,173.100
1978-06-26,173.700
1978-07-03,174.500
1978-07-10,173.600
1978-07-17,173.600
1978-07-24,173.800
1978-07-31,174.400
1978-08-07,174.300
1978-08-14,175.000
1978-08-21,174.600
1978-08-28,175.000
1978-09-04,176.400
1978-09-11,176.500
1978-09-18,177.200
1978-09-25,178.200
1978-10-02,179.400
1978-10-09,180.500
1978-10-16,179.800
1978-10-23,179.100
1978-10-30,179.700
1978-11-06,180.700
1978-11-13,181.600
1978-11-20,180.900
1978-11-27,182.800
1978-12-04,183.700
1978-12-11,183.000
1978-12-18,183.400
1978-12-25,185.100
1979-01-01,188.300
1979-01-08,188.700
1979-01-15,189.400
1979-01-22,190.100
1979-01-29,190.700
1979-02-05,191.700
1979-02-12,192.400
1979-02-19,192.900
1979-02-26,193.100
1979-03-05,193.600
1979-03-12,194.400
1979-03-19,195.000
1979-03-26,195.400
1979-04-02,196.400
1979-04-09,197.2
1979-04-16,198.200
1979-04-23,199.400
1979-04-30,200.300
1979-05-07,201.300
1979-05-14,202.100
1979-05-21,203.000
1979-05-28,203.900
1979-06-04,205.200
1979-06-11,206.000
1979-06-18,206.900
1979-06-25,207.000
1979-07-02,207.000
1979-07-09,207.600
1979-07-16,208.300
1979-07-23,209.300
1979-07-30,210.200
1979-08-06,211.200
1979-08-13,211.600
1979-08-20,213.000
1979-08-27,213.900
1979-09-03,214.500
1979-09-10,215.600
1979-09-17,216.500
1979-09-24,217.800
1979-10-01,219.500
1979-10-08,220.500
1979-10-15,221.600
1979-10-22,223.400
1979-10-29,225.400
1979-11-05,228.800
1979-11-12,230.100
1979-11-19,231.100
1979-11-26,231.700
1979-12-03,233.400
1979-12-10,234.200
1979-12-17,235.000
1979-12-24,235.900
