DATE,WSMTIME
1975-01-06,123.100
1975-01-13,123.600
1975-01-20,123.700
1975-01-27,124.000
1975-02-03,123.600
1975-02-10,124.500
1975-02-17,125.300
1975-02-24,126.400
1975-03-03,126.600
1975-03-10,127.200
1975-03-17,127.700
1975-03-24,127.900
1975-03-31,128.900
1975-04-07,129.400
1975-04-14,130.000
1975-04-21,130.300
1975-04-28,130.900
1975-05-05,131.200
1975-05-12,131.500
1975-05-19,131.400
1975-05-26,131.800
1975-06-02,132.100
1975-06-09,132.500
1975-06-16,133.100
1975-06-23,133.800
1975-06-30,134.900
1975-07-07,135.400
1975-07-14,135.900
1975-07-21,136.200
1975-07-28,136.500
1975-08-04,136.800
1975-08-11,137.000
1975-08-18,136.900
1975-08-25,137.200
1975-09-01,138.000
1975-09-08,138.200
1975-09-15,138.000
1975-09-22,137.900
1975-09-29,138.300
1975-10-06,138.500
1975-10-13,139.200
1975-10-20,139.400
1975-10-27,139.500
1975-11-03,139.600
1975-11-10,140.200
1975-11-17,140.300
1975-11-24,140.600
1975-12-01,140.700
1975-12-08,141.700
1975-12-15,142.200
1975-12-22,142.700
1975-12-29,142.900
1976-01-05,142.600
1976-01-12,143.000
1976-01-19,142.700
1976-01-26,143.000
1976-02-02,142.900
1976-02-09,142.900
1976-02-16,143.000
1976-02-23,143.000
1976-03-01,142.500
1976-03-08,142.000
1976-03-15,141.700
1976-03-22,141.200
1976-03-29,141.000
1976-04-05,140.700
1976-04-12,141.200
1976-04-19,141.100
1976-04-26,142.000
1976-05-03,142.600
1976-05-10,143.000
1976-05-17,143.400
1976-05-24,143.600
1976-05-31,143.900
1976-06-07,143.900
1976-06-14,143.900
1976-06-21,143.800
1976-06-28,144.200
1976-07-05,144.300
1976-07-12,145.100
1976-07-19,145.500
1976-07-26,146.100
1976-08-02,146.400
1976-08-09,146.900
1976-08-16,147.500
1976-08-23,148.200
1976-08-30,149.100
1976-09-06,150.000
1976-09-13,150.700
1976-09-20,151.100
1976-09-27,151.600
1976-10-04,151.600
1976-10-11,152.200
1976-10-18,152.900
1976-10-25,153.900
1976-11-01,154.300
1976-11-08,154.500
1976-11-15,153.900
1976-11-22,154.200
1976-11-29,154.400
1976-12-06,154.900
1976-12-13,155.600
1976-12-20,155.800
1976-12-27,155.400
1977-01-03,155.800
1977-01-10,156.200
1977-01-17,156.600
1977-01-24,157.400
1977-01-31,157.400
1977-02-07,157.500
1977-02-14,157.900
1977-02-21,158.400
1977-02-28,159.000
1977-03-07,159.400
1977-03-14,160.100
1977-03-21,160.600
1977-03-28,160.900
1977-04-04,161.400
1977-04-11,161.900
1977-04-18,162.200
1977-04-25,162.500
1977-05-02,163.000
1977-05-09,163.400
1977-05-16,163.800
1977-05-23,163.900
1977-05-30,164.500
1977-06-06,164.800
1977-06-13,165.100
1977-06-20,165.500
1977-06-27,165.600
1977-07-04,165.900
1977-07-11,166.300
1977-07-18,166.100
1977-07-25,166.200
1977-08-01,166.100
1977-08-08,166.100
1977-08-15,166.100
1977-08-22,166.100
1977-08-29,166.100
1977-09-05,166.100
1977-09-12,166.300
1977-09-19,166.000
1977-09-26,166.300
1977-10-03,166.500
1977-10-10,166.400
1977-10-17,166.200
1977-10-24,166.400
1977-10-31,166.100
1977-11-07,166.000
1977-11-14,166.100
1977-11-21,166.600
1977-11-28,166.500
1977-12-05,166.900
1977-12-12,167.200
1977-12-19,167.100
1977-12-26,167.700
1978-01-02,168.500
